angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.04,,"[220, 77, 74, 93]",,0.0,,0.02,,0.03,,0.81,,0.1,,0.0,
0.03,,"[221, 79, 77, 97]",,0.0,,0.02,,0.01,,0.78,,0.15,,0.0,
0.04,,"[219, 77, 76, 97]",,0.0,,0.01,,0.01,,0.83,,0.1,,0.0,
0.08,,"[219, 77, 75, 97]",,0.0,,0.02,,0.01,,0.81,,0.08,,0.0,
0.09,,"[220, 80, 77, 98]",,0.0,,0.02,,0.01,,0.72,,0.16,,0.0,
0.12,,"[221, 80, 76, 99]",,0.0,,0.03,,0.0,,0.68,,0.17,,0.0,
0.2,,"[219, 76, 76, 98]",,0.0,,0.02,,0.01,,0.64,,0.13,,0.0,
0.18,,"[220, 79, 77, 100]",,0.0,,0.02,,0.01,,0.58,,0.21,,0.0,
0.22,,"[219, 77, 77, 99]",,0.0,,0.03,,0.01,,0.62,,0.13,,0.0,
0.3,,"[221, 80, 77, 101]",,0.0,,0.04,,0.02,,0.28,,0.36,,0.0,
0.27,,"[222, 80, 77, 101]",,0.0,,0.04,,0.04,,0.18,,0.46,,0.0,
0.13,,"[224, 82, 75, 98]",,0.0,,0.04,,0.04,,0.11,,0.69,,0.0,
0.24,,"[224, 80, 77, 100]",,0.0,,0.03,,0.16,,0.06,,0.51,,0.0,
0.16,,"[225, 80, 79, 101]",,0.0,,0.03,,0.48,,0.06,,0.26,,0.0,
0.16,,"[230, 83, 75, 96]",,0.0,,0.02,,0.53,,0.09,,0.21,,0.0,
0.12,,"[233, 84, 74, 95]",,0.0,,0.02,,0.31,,0.13,,0.42,,0.0,
0.1,,"[235, 82, 76, 98]",,0.0,,0.04,,0.17,,0.2,,0.49,,0.0,
0.19,,"[236, 81, 77, 99]",,0.0,,0.05,,0.03,,0.29,,0.44,,0.0,
0.07,,"[238, 83, 73, 94]",,0.0,,0.03,,0.03,,0.24,,0.62,,0.0,
0.17,,"[235, 77, 75, 94]",,0.0,,0.04,,0.14,,0.33,,0.31,,0.0,
0.43,,"[236, 76, 75, 95]",,0.0,,0.03,,0.33,,0.04,,0.17,,0.0,
0.41,,"[237, 77, 73, 94]",,0.0,,0.03,,0.4,,0.03,,0.12,,0.0,
0.1,,"[240, 78, 77, 95]",,0.0,,0.02,,0.13,,0.02,,0.73,,0.0,
0.22,,"[239, 74, 78, 97]",,0.0,,0.02,,0.42,,0.02,,0.32,,0.0,
0.23,,"[243, 75, 75, 95]",,0.0,,0.02,,0.11,,0.01,,0.62,,0.0,
0.46,,"[245, 75, 75, 94]",,0.0,,0.03,,0.04,,0.03,,0.43,,0.0,
0.78,,"[249, 74, 75, 95]",,0.0,,0.03,,0.01,,0.02,,0.16,,0.0,
